Order Amount,Customer Email Domain,Past Fraud History,Fraud Probability (%)
380.7947176588889,gmail.com,0,25
951.207163345817,edu.com,0,35
734.6740023932911,yahoo.com,1,95
602.6718993550662,yahoo.com,0,25
164.45845403801215,edu.com,0,-5
164.43457513284062,outlook.com,0,5
67.50277604651747,gmail.com,0,5
867.5143843171858,hotmail.com,0,45
605.1038616257767,edu.com,0,15
710.9918520180851,company.com,0,30
30.378649352844423,edu.com,0,-5
970.2107536403744,yahoo.com,1,95
834.1182143924175,yahoo.com,1,95
220.2157195714934,gmail.com,0,5
190.00671753502962,yahoo.com,0,5
191.5704647548995,company.com,1,40
311.1998205299424,edu.com,0,15
529.5088673159155,outlook.com,0,25
437.62556845569463,gmail.com,1,75
298.3168487960615,outlook.com,0,5
615.7343657751557,yahoo.com,0,25
148.09892204552142,company.com,0,-10
299.22320204986596,outlook.com,1,55
372.6982248607548,gmail.com,1,75
461.50928437486556,gmail.com,1,75
787.3242017790834,outlook.com,0,45
207.67704433677613,edu.com,1,45
519.0920940294754,hotmail.com,0,25
596.4904231734221,edu.com,0,15
55.98590859279775,company.com,0,-10
611.4694033824239,yahoo.com,0,25
178.8188824504186,yahoo.com,0,5
74.40107705542673,company.com,0,-10
949.3966818807999,edu.com,0,35
965.9757127438138,hotmail.com,0,45
810.3133746352966,company.com,0,30
311.56763148163697,yahoo.com,0,25
106.69539286632003,company.com,0,-10
687.3906962470353,edu.com,0,15
445.7509688022053,edu.com,0,15
130.81785249633106,yahoo.com,0,5
500.2251410101575,yahoo.com,0,25
44.04463590406621,edu.com,0,-5
910.2271980579942,hotmail.com,0,45
266.1921817840167,hotmail.com,1,55
665.8970615104422,outlook.com,0,25
318.59396532851684,edu.com,0,15
524.8673409660327,company.com,0,10
551.2431765498469,company.com,1,60
193.00591097027177,yahoo.com,0,5
969.888781486913,company.com,1,80
777.3814951275034,company.com,0,30
940.1039521485473,outlook.com,1,95
895.8790769233724,outlook.com,0,45
601.9209790229743,company.com,1,60
922.6554926728857,hotmail.com,0,45
97.6075770314003,hotmail.com,0,5
204.02303379495373,outlook.com,0,5
54.775016021432684,gmail.com,0,5
332.0770274556317,edu.com,0,15
394.7905167925872,outlook.com,1,75
278.63554145615694,hotmail.com,1,55
830.45013406041,hotmail.com,0,45
363.1857934266534,edu.com,0,15
288.1251645905069,edu.com,0,-5
547.269122326666,yahoo.com,0,25
149.51498272501502,hotmail.com,0,5
804.1750109464992,gmail.com,0,45
83.80513724297312,edu.com,0,-5
987.0180672345122,gmail.com,0,45
774.5223216036909,edu.com,0,35
206.72852471883067,gmail.com,0,5
15.466895952366375,edu.com,0,-5
817.3068141702859,outlook.com,0,45
709.788770409141,gmail.com,1,95
731.7170963605774,gmail.com,0,45
773.5576432190862,edu.com,0,35
83.30420521674945,hotmail.com,0,5
364.8810712588299,company.com,0,10
124.71036892987841,gmail.com,1,55
864.4723916168376,yahoo.com,0,45
627.0651455592823,edu.com,0,15
337.5890446041227,hotmail.com,0,25
72.9227667831634,edu.com,1,45
317.8724984985056,outlook.com,1,75
331.9314888064796,company.com,0,10
732.3101165546834,yahoo.com,0,45
641.181896641661,company.com,0,10
888.3406151505633,hotmail.com,1,95
477.4927759103298,edu.com,0,15
128.3983034789187,gmail.com,1,55
716.1123393507651,company.com,0,30
763.1771981307285,hotmail.com,0,45
565.6644255938013,company.com,0,10
773.2575081550153,yahoo.com,0,45
498.85764040074685,outlook.com,0,25
527.5055010881741,hotmail.com,0,25
433.26560817496414,yahoo.com,0,25
35.164935476654236,company.com,0,-10
116.81251272337141,hotmail.com,0,5
41.11489382986691,gmail.com,0,5
640.0463071511426,company.com,1,60
321.2124212655634,gmail.com,1,75
513.4849842530557,company.com,1,60
908.490809186832,gmail.com,1,95
256.7993068573862,edu.com,0,-5
416.2790938052734,yahoo.com,0,25
757.9956271576182,outlook.com,0,45
236.51018383670623,edu.com,0,-5
86.21011073050506,outlook.com,0,5
296.85393838463034,yahoo.com,0,5
169.60907438146438,gmail.com,0,5
930.4006758191473,hotmail.com,0,45
810.0391757687728,yahoo.com,0,45
637.0697189453192,yahoo.com,0,25
872.7459842858406,hotmail.com,0,45
805.6353561301233,company.com,0,30
194.70435829717547,outlook.com,1,55
893.633408505078,gmail.com,0,45
543.9488194964943,hotmail.com,0,25
809.3657536124219,company.com,1,80
897.1303869242583,yahoo.com,1,95
324.8234402221452,outlook.com,1,75
118.95140528239999,edu.com,0,-5
235.65581091652226,company.com,0,-10
432.83671073999375,company.com,0,10
819.8346182632682,company.com,0,30
862.12327742378,gmail.com,0,45
16.882609225878795,yahoo.com,0,5
515.6398295517901,yahoo.com,0,25
423.2368931172912,yahoo.com,0,25
229.88673236602295,hotmail.com,0,5
128.66671366034598,outlook.com,0,5
344.23901968959166,yahoo.com,0,25
943.480606873394,company.com,0,30
329.9709027005477,outlook.com,0,25
523.6027155259325,yahoo.com,1,75
705.9887693062261,edu.com,0,35
369.99330635550103,outlook.com,0,25
972.0642618937511,company.com,0,30
962.8228219926901,edu.com,0,35
259.2644728671105,gmail.com,0,5
502.2760208334616,hotmail.com,0,25
307.86952671860195,hotmail.com,0,25
291.9920894336929,gmail.com,0,5
46.51807788098747,gmail.com,1,55
613.4686906400979,company.com,0,10
507.6522329965729,edu.com,0,15
60.96396373748946,edu.com,1,45
285.8599995942453,yahoo.com,1,55
909.1832271069871,gmail.com,0,45
247.1662717603027,yahoo.com,0,5
153.44592337031085,company.com,0,-10
494.5582326747874,gmail.com,0,25
985.7939495694947,company.com,0,30
249.6347187963854,outlook.com,0,5
675.4141919318198,gmail.com,0,25
764.0034191754304,outlook.com,1,95
245.26116855247568,gmail.com,1,55
730.934185125741,gmail.com,0,45
374.1053013920607,hotmail.com,0,25
635.9827722876437,edu.com,0,15
637.1944136532858,hotmail.com,0,25
540.4169372340109,yahoo.com,0,25
99.38687235386422,hotmail.com,0,5
836.9494706333456,edu.com,0,35
327.5722643220185,edu.com,0,15
194.6533252958557,outlook.com,0,5
50.367390139216276,company.com,0,-10
594.9840137563594,edu.com,0,15
680.7887182238596,hotmail.com,0,25
26.42195063857759,company.com,1,40
516.9721277162882,company.com,0,10
234.23081744595856,gmail.com,0,5
648.7210625053553,yahoo.com,0,25
182.62276471494152,hotmail.com,0,5
694.0283607214413,yahoo.com,0,25
392.86799283753203,gmail.com,0,25
937.3626888493671,company.com,0,30
146.1457347045333,edu.com,0,-5
347.65568753975595,hotmail.com,1,75
122.33878602818318,hotmail.com,0,5
925.4466820957772,gmail.com,0,45
878.5659598471713,yahoo.com,1,95
